,text,task_1
0,বিশ্বাস করেন ভাই এক হাজারের উপরে কমেন্টস দেখলাম কেউ বিচারক গুলারে ভালো বলল না শবনম ফারিয়া জাকিয়া বারী মম ওদের দিয়েছে বিচারকের আসন আজ যদি মাসুদ রানা বেঁচে থাকত যদি দেখতো জাকিয়া বারী মম শবনম ফারিয়া বিচারক তাহলে সে নিশ্চিত মারা যেত আর আবাল দুইটা তিনটার কথা নাই বললাম ওদের মধ্যেই তো কোনো ভালো লক্ষণ নেই তোরা ভালো মানুষ কিভাবে বের করবি ওদের ভাব দেখলে মনে হয় অস্কারজয়ী অভিনেত্রী অভিনেতা চ্যানেল আই কে বলতেছে বাংলাদেশ সে কি ভালো মানের বিচারক নাই ওদের মতো কুলাঙ্গারদের দিয়ে এই ধরনের অনুষ্ঠান করাইতেছেন,NOT
1,ভাই এসব কথা ভালো না আপনে কি মানুষ না আর কিচো,NOT
2,কাওয় কাদের মরলে কুততা যবে করে জানোয়ার দের খাওয়ানো হবে কেন না কাদের একজন সন্ত্রাসী স্বৈরাচার জানোয়ার,HOF
3,এখনো সে ওই পদে বহাল কেনো আছে জাতি জানতে চাই আমাদের জামালপুরের মান সন্মান আর রইল না,NOT
4,এটা তো একটা ছাগলের বাচ্চা,HOF
5,খুব সুন্দর উত্তর,NOT
6,ওরে বলদ ছোদা,HOF
7,আল্লাহর নামে শুরু করুন জবাই,NOT
8,চোরের গোষ্ঠী নামছে চোর ধরতে । শালা আবালের দল ।,HOF
9,খানকির ছেলে তোরমাকে চুূদি গাজা খায়ে ভিডিও বানাও,HOF
10,এই কুকুর বাচ্চা ফাসি চাই সরকার কে ধন্যবাদ,HOF
11,হালার পুত কিছুই বুজলাম না সুধু তর নাকের টান সুনলাম,HOF
12,খানকির পুলা তরে আমি আমার সামনে পাইলে মারতে মারতে মাইরা হালাইতাম খানকির পুলা মাদার চোত,HOF
13,অনেক দিনের ইচ্ছে রেশমি এলনের সাথে কথা বলবি অর বোদা খাইয়া দে চুদনার পুলা,NOT
14,তৌকির আহমেদ কে অসংখ্য ধন্যবাদ এরকম একটি ছবি বানানোর জন্য,NOT
15,আরে ভাই ! তোমার প্যাসাল থামাও। এ সব শুনতে চাই না। লম্পট লুচ্চা ডি সিকে ধরে ওর লিঙ্গটি কেটে ফেলো। আর সাধনা মাগীকে ধরে উলঙ্গ করে ওর বোদায় গরম লোহার রড ঢুকিয়ে দাও। বোদার চুলকানিও কমবে কিছুটা মজাও পেতে পারে। এরা জাতির কুলাঙ্গার এবং সমাজের ক্যান্সার।,HOF
16,মিন্নি কিন্তু সেই,NOT
17,"স্যার আপনাকে দেশের তরুণ প্রজন্ম আইডল ভাবত।  আর আপনিও রাজনীতির কাছে বিক্রি হয়ে গেলেন? আমরা সাধারণরা দেশের রাজনীতি অন্যভাবে দেখতে চাই যা উন্নত দেশে প্রচলিত। বর্তমানে আমাদের দেশের কোনো রাজনৈতিক দলই এতোটা উদার হতে পারনি। আপনি তাই জাফর স্যার থাকুন, অন্য কিছু নয়!",NOT
18,এই খান কির পোলা সিফাত উল্যা তুর মারে চুদি,HOF
19,তোর মায়রে চুদি,HOF
20,"অভ্র ব্যবহার করুন , অত্যন্ত সহজ একটি লে-আউট",NOT
21,গানটা এতদিন শুনতাম কিন্তু জানতাম না এইটা আবাল চুদার মুভির গান<br />হৃদয় খান এই আবার চুদার মুভিতে গানটা দিয়ে ভুল করছে<br />গানটা চুদে দিয়েছে,HOF
22,পাপন কে খেলব?কি বলেন আমি কিন্তু হেকার যে ছাইলে পাপনকে মাগির দলাল বানানো কোন বেপারনা,HOF
23,কুত্তার বাচ্চা,HOF
24,পরিচালক গাঞ্জা খেয়ে বাল লেখছে।,HOF
25,"মাদারচুদ রুবেল তরে কুত্তার মত পিটাবো
",HOF
26,জয় বাংলা জয় কাদের কাকা🤗,NOT
27,কুত্তার বাচ্চারা জনগনের টাকাই ফুর্তি করবেদেশের ভাবমূর্তি নষ্ট করবে। রাস্তায় পেলে আচ্ছা করে পিটানো দরকারভবিষ্যতে যাতে এমন কাজ করতে সাহস না পায়,HOF
28,যদি দাড়িওয়ালা হত তাহলে শয়তানা কামাল মুরগি কবির এরা টকশো শুরু করতো।,NOT
29,জুতা মারা দরকার পরিচালক জাজ সব গুলোরে বেয়াদবের বাচ্চারা,HOF
30,ওখানে নাটক সবাই দেখছে হারে বরগুনার ছাগলের দল,HOF
31,জানোয়ারটাকে সামনে পাইলে জুতা পিটা করতাম,HOF
32,এই কুকুর টাকে সর্বচ্চ শাস্তি দেওয়া হোক,HOF
33,পরিবারের লোক আজ কানছে কানো????? তাদের যদি পরিবারের কথা মনে থাকতো তা হলে এই রকম কাজ করতে পারতো??????????? 🤔🤔🤔🤔,NOT
34,এসব ভিডিও আরো বানাও,NOT
35,সালা আকাম কু কাম কর। আবারও বড় বড় কথা,HOF
36,বেহায়া মহিলা পর্দা করে আজ আমাদের সকল হিজাপী নারীদের অপমান করলো।,HOF
37,অর্থের শূন্যতার চেয়েও প্রিয়জনের শূন্যতা অন্তরে ভালোবাসা সম্পন্ন বেশী কাঁদায়।<br /><br />প্রবাসী হলে অনুভব বেশি করা যায়।,NOT
38,এই শয়তানটারে একবার যদি আমার সামনে পাইতাম রে,NOT
39,এতোগুলো মানুষের সামনে মারল আর সবাই দাঁড়িয়ে দাঁড়িয়ে তামাশা দেখলো।।সাবাই যদি একসাথে প্রতিবাদ করতে পারতো তাহলে আজকে আর এইদিন দ্দেখতে হতো না😭।,NOT
40,রাজকীয় পরিবারের জন্য এইসব খুব সামান্য।ইমেলদা মার্কোস সহ অন্যান্য রাজকীয় পরিবারের সম্পদের সাথে তুলনা করার অনুরোধ রহিল।,NOT
41,আওয়ামিলীগ এর জারজ মন্ত্রীরা জনগনের টাকা মেরে এসব শখ মিটাচ্ছে। শালা কুকুর লীগ।,HOF
42,মাদারচদ পাপন,HOF
43,তোমার মত কুলাংগারকে দেশের মানুষ কেমন ঘৃনা করে নিরপেক্ষ নির্বাচন হলে বুঝতে পারবে।জনগনের অধিকার হরন করে শোষক হওয়া যায় কিন্তু নেতা হওয়া যায় না,NOT
44,Would anybody please tell me how can I work with my 10 billion neuron? I thought that it can be possible through practice but again I thought that there can be some other ways to make them work spontaniously. Can you share your idea please...,NOT
45,মোদি একটা কুত্তার বাচ্ছা,HOF
46,চ্যালেনআই মত এত সুন্দর একটা জনপ্রিয় টিভি শোতে এরকম চারটা গাধাদের সিলেক্ট করবে এটা আমরা আশা করিনি,HOF
47,আপুর আজ এমনটা হতনা আপুকে আমার ভালোলাগে,HOF
48,আল্লাহর ধরা কঠিন ধরা।জেদিন ধরবে সেদিন বুঝবে নাস্তিক কুত্তার বাচ্চারা,HOF
49,আগে একবার বিয়ে হওয়া প্রেম করা এগুলো কি খুনের চেয়েও বড় অপরাধ !? যদি তাই না হয় তাহলে যারা প্রকাশ্যে কুপিয়ে হত্যা করল তাদেরকে ছেড়ে যারা রিফাতের স্ত্রির চারিত্রিক সনদ নিয়ে গবেষনায় লিপ্ত আছেন তারা কি পানি গোলা করে খুনীদেরকে বাঁচানোর পথ তৈরি করে দিচ্ছেন না তো ?? ভেবে দেখবেন !? ⬇ যারা কুপিয়ে হত্যা করল আগে তাদেরকে জনসম্মুখে শিরচ্ছেদ করা হোক তারপর অন্য কেউ জড়িত থাকলে তার বিচার করা হোক,NOT
